Drs.	Doktorandus	<http://id.wikipedia.org/wiki/Doktorandus>	
Ph.D.	Doktor	<http://id.wikipedia.org/wiki/Doktor>	
SmackDown!	WWE SmackDown	<http://id.wikipedia.org/wiki/WWE_SmackDown>	
Dr.	Doktor	<http://id.wikipedia.org/wiki/Doktor>	
R.E.M.	R.E.M. (grup musik)	<http://id.wikipedia.org/wiki/R.E.M._(grup_musik)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
R.M.	Raden Mas	<http://id.wikipedia.org/wiki/Raden_Mas>	
R.Ay.	Raden Ayu	<http://id.wikipedia.org/wiki/Raden_Ayu>	
Th.D.	Doktor Teologi	<http://id.wikipedia.org/wiki/Doktor_Teologi>	
Convar.	Kelompok budidaya	<http://id.wikipedia.org/wiki/Kelompok_budidaya>	
R.A.B.	Regulus Black	<http://id.wikipedia.org/wiki/Regulus_Black>	
E.P.	Album mini	<http://id.wikipedia.org/wiki/Album_mini>	
Linn.	Carolus Linnaeus	<http://id.wikipedia.org/wiki/Carolus_Linnaeus>	
U.A.E.	Uni Emirat Arab	<http://id.wikipedia.org/wiki/Uni_Emirat_Arab>	
U.E.A.	Uni Emirat Arab	<http://id.wikipedia.org/wiki/Uni_Emirat_Arab>	
Reinw.	Caspar Georg Karl Reinwardt	<http://id.wikipedia.org/wiki/Caspar_Georg_Karl_Reinwardt>	
A.S.	Amerika Serikat	<http://id.wikipedia.org/wiki/Amerika_Serikat>	
J.A.K.Q.	J.A.K.Q. Dengekitai	<http://id.wikipedia.org/wiki/J.A.K.Q._Dengekitai>	
C.H.I.P.S.	Chips	<http://id.wikipedia.org/wiki/Chips>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Kosterm.	André Joseph Guillaume Henri Kostermans	<http://id.wikipedia.org/wiki/André_Joseph_Guillaume_Henri_Kostermans>	
As.	Alaihis Salam	<http://id.wikipedia.org/wiki/Alaihis_Salam>	
Becc.	Odoardo Beccari	<http://id.wikipedia.org/wiki/Odoardo_Beccari>	
Prof.	Profesor	<http://id.wikipedia.org/wiki/Profesor>	
Jungh.	Franz Wilhelm Junghuhn	<http://id.wikipedia.org/wiki/Franz_Wilhelm_Junghuhn>	
Hassk.	Justus Karl Hasskarl	<http://id.wikipedia.org/wiki/Justus_Karl_Hasskarl>	
Scheff.	Rudolph Herman Christiaan Carel Scheffer	<http://id.wikipedia.org/wiki/Rudolph_Herman_Christiaan_Carel_Scheffer>	
R.P.	Raden Panji	<http://id.wikipedia.org/wiki/Raden_Panji>	
Plt.	Pelaksana Tugas	<http://id.wikipedia.org/wiki/Pelaksana_Tugas>	
K.P.H.	Kanjeng Pangeran Harya	<http://id.wikipedia.org/wiki/Kanjeng_Pangeran_Harya>	
W.O.	Walkover	<http://id.wikipedia.org/wiki/Walkover>	
Satanikus!	Dororon Enma-kun	<http://id.wikipedia.org/wiki/Dororon_Enma-kun>	
Tbk.	Perseroan terbatas	<http://id.wikipedia.org/wiki/Perseroan_terbatas>	
K.A.Z.	K.A.Z	<http://id.wikipedia.org/wiki/K.A.Z>	
Dra.	Doktoranda	<http://id.wikipedia.org/wiki/Doktoranda>	
Rumph.	Georg Eberhard Rumpf	<http://id.wikipedia.org/wiki/Georg_Eberhard_Rumpf>	
3dnow!	3DNow!	<http://id.wikipedia.org/wiki/3DNow!>	
C.m.b.	C.M.B.	<http://id.wikipedia.org/wiki/C.M.B.>	
Oo...Lea...Leo!!	Oo..lea...leo...!!!	<http://id.wikipedia.org/wiki/Oo..lea...leo...!!!>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Smackdown!	WWE SmackDown	<http://id.wikipedia.org/wiki/WWE_SmackDown>	
Iih,,syereem!	Iih,,Syereem!	<http://id.wikipedia.org/wiki/Iih,,Syereem!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Quistastic!	Quiztastic!	<http://id.wikipedia.org/wiki/Quiztastic!>	
U.S.A.	Amerika Serikat	<http://id.wikipedia.org/wiki/Amerika_Serikat>	
K-on!	K-On!	<http://id.wikipedia.org/wiki/K-On!>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
N.w.a.	N.W.A.	<http://id.wikipedia.org/wiki/N.W.A.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
P.o.d.	P.O.D.	<http://id.wikipedia.org/wiki/P.O.D.>	
Q.e.d.	Q.E.D.	<http://id.wikipedia.org/wiki/Q.E.D.>	
Run-d.m.c.	Run-D.M.C.	<http://id.wikipedia.org/wiki/Run-D.M.C.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
T.a.t.u.	T.A.T.u.	<http://id.wikipedia.org/wiki/T.A.T.u.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
T.i.	T.I.	<http://id.wikipedia.org/wiki/T.I.>	
V.f.d.	V.F.D.	<http://id.wikipedia.org/wiki/V.F.D.>	
Yu-gi-oh!	Yu-Gi-Oh!	<http://id.wikipedia.org/wiki/Yu-Gi-Oh!>	
السعودية.	AlSaudiah	<http://id.wikipedia.org/wiki/AlSaudiah>	
N.E.C.	N.E.C. Nijmegen	<http://id.wikipedia.org/wiki/N.E.C._Nijmegen>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/SoccerClub>,<http://dbpedia.org/ontology/SportsTeam>,<http://schema.org/Organization>,<http://schema.org/SportsTeam> 
D.C.	Augustin Pyrame de Candolle	<http://id.wikipedia.org/wiki/Augustin_Pyrame_de_Candolle>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/Scientist>,<http://schema.org/Person> 
F.U.N.	SpongeBob SquarePants (musim ke-1)	<http://id.wikipedia.org/wiki/SpongeBob_SquarePants_(musim_ke-1)>	
Arrgh!	SpongeBob SquarePants (musim ke-1)	<http://id.wikipedia.org/wiki/SpongeBob_SquarePants_(musim_ke-1)>	
Fiksi.	Fiksi. (film)	<http://id.wikipedia.org/wiki/Fiksi._(film)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Bl.	Carl Ludwig Blume	<http://id.wikipedia.org/wiki/Carl_Ludwig_Blume>	
Roxb.	William Roxburgh	<http://id.wikipedia.org/wiki/William_Roxburgh>	
C.d.d.	C.D.D.	<http://id.wikipedia.org/wiki/C.D.D.>	
C.i.c.m.	C.I.C.M.	<http://id.wikipedia.org/wiki/C.I.C.M.>	
C.m.	C.M.	<http://id.wikipedia.org/wiki/C.M.>	
E.t.	E.T.	<http://id.wikipedia.org/wiki/E.T.>	<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/Single>,<http://schema.org/CreativeWork> 
D.o.	D.O.	<http://id.wikipedia.org/wiki/D.O.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Ok!!	OK!!	<http://id.wikipedia.org/wiki/OK!!>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Gogirl!	GoGirl!	<http://id.wikipedia.org/wiki/GoGirl!>	
S.e.o.u.l.	S.E.O.U.L.	<http://id.wikipedia.org/wiki/S.E.O.U.L.>	<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/Single>,<http://schema.org/CreativeWork> 
P.a.r.c.e.	P.A.R.C.E.	<http://id.wikipedia.org/wiki/P.A.R.C.E.>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
O.K.	Oke	<http://id.wikipedia.org/wiki/Oke>	
BINGO!	Bingo! (lagu AKB48)	<http://id.wikipedia.org/wiki/Bingo!_(lagu_AKB48)>	<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/Single>,<http://schema.org/CreativeWork> 
Punto.	Vueling	<http://id.wikipedia.org/wiki/Vueling>	
Fun.	Fun (grup musik)	<http://id.wikipedia.org/wiki/Fun_(grup_musik)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
¡uno!	¡Uno!	<http://id.wikipedia.org/wiki/¡Uno!>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
%22o%22-jung.ban.hap.	"O"-Jung.Ban.Hap.	<http://id.wikipedia.org/wiki/%22O%22-Jung.Ban.Hap.>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
Akbingo!	AKBingo!	<http://id.wikipedia.org/wiki/AKBingo!>	
الجزائر.	.dz	<http://id.wikipedia.org/wiki/.dz>	
